麻辣香锅 :  hot and numbing fragrant pot
香辣烤鱼 :  fragrant spicy roast fish
烤鱼 :  roast fish
椒子肥牛 :  pepper fat/fertile/loose-fitting or large/to fertilize/to become rich by illegal means/fertilizer/manure beef
重庆小面 :  Chongqing city (Chungking), formerly in Sichuan province, a municipality since 1997, short name 渝[Yu2] small/tiny/few/young face/side/surface/aspect/top/classifier for flat surfaces such as drums, mirrors, flags etc
麻辣小龙虾 :  hot and numbing crayfish
松鼠鱼 :  squirrel fish
牛肉焦饼 :  beef charred round flat cake/cookie/cake/pastry/CL:張|张[zhang1]
干锅牛蛙 :  dry pot bullfrog
铁锅牛蛙 :  iron cooking pot bullfrog
香辣美容蹄 :  fragrant spicy to improve one's appearance (using cosmetics or cosmetic surgery)/to make oneself more attractive/to beautify hoofs
居帧益身汤 :  surname Ju frame/classifier for paintings etc/Taiwan pr. [zheng4] surname Yi body/life/oneself/personally/one's morality and conduct/the main part of a structure or body/pregnant/classifier for sets of clothes: suit, twinset/Kangxi radical 158 surname Tang
老妈蹄花 :  mother/mom hoofs flower
冷锅鱼 :  cold pot fish
蓝莓山药 :  blueberry the yam
泉水牛蛙 :  spring water/CL:股[gu3] bullfrog
青笋 :  abbr. for 青海[Qing1 hai3], Qinghai Province bamboo shoot
鸡翅中 :  chicken variant of 翅[chi4] China/Chinese/surname Zhong
香辣蟹 :  fragrant spicy crab
金牌稻香蛙 :  gold medal/CL:枚[mei2] paddy/rice (Oraza sativa) fragrant frog/CL:隻|只[zhi1]
凉拌素三样 :  salad with dressing/cold vegetables dressed with sauce (e.g. cole slaw) raw silk/white/plain, unadorned/vegetarian (food)/essence/nature/element/constituent/usually/always/ever three manner/pattern/way/appearance/shape/CL:個|个[ge4]
烤猪蹄 :  roast pig hoofs
串串香 :  to string together/to mix up/to conspire/to rove/to make a swift or abrupt linear movement (like a bead on an abacus)/to move across/bunch or cluster/string (computing)/classifier for rows or strings to string together/to mix up/to conspire/to rove/to make a swift or abrupt linear movement (like a bead on an abacus)/to move across/bunch or cluster/string (computing)/classifier for rows or strings fragrant
麻辣兔头 :  hot and numbing rabbit head
老街兔头 :  Lao Cai, Vietnam/Laokai or Laukkai, Burma (Myanmar) rabbit head
村童烤兔腿 :  village surname Tong roast rabbit leg
餐前酸奶 :  meal/to eat/classifier for meals front/forward/ahead/first/top (followed by a number)/future/ago/before/BC (e.g. 前293年)/former/formerly yogurt
江石滚肥牛 :  river stone boiled fat/fertile/loose-fitting or large/to fertilize/to become rich by illegal means/fertilizer/manure beef
蜂窝土豆 :  bee's nest/honeycomb/fig. honeycomb figure potato
钵钵鸡 :  small earthenware plate or basin/a monk's alms bowl/Sanskrit paatra small earthenware plate or basin/a monk's alms bowl/Sanskrit paatra chicken
水煮牛肉 :  water boiled beef
羊蝎子火锅 :  mutton scorpion hot pot
退秋鱼 :  to retreat/to decline/to move back/to withdraw autumn fish
虾滑 :  shrimp surname Hua
黄氏牛肉 :  surname Huang or Hwang clan name/maiden name beef
手抓小龙虾 :  hand / convenient to grab/to catch/to arrest/to snatch/to scratch crayfish
香辣美容猪蹄 :  fragrant spicy to improve one's appearance (using cosmetics or cosmetic surgery)/to make oneself more attractive/to beautify pig hoofs
干锅鸡 :  dry pot chicken
极品江石滚肥牛 :  best quality river stone boiled fat/fertile/loose-fitting or large/to fertilize/to become rich by illegal means/fertilizer/manure beef
